튜토리얼ID,다음튜토리얼ID,그룹ID,그룹명,제목,설명,보상,시작대사,완료대사,실패대사,관련장비,관련자원,관련레시피
TUT_EXPAND_007,TUT_EXPAND_008,tutorial_expand,공장 확장,자동 생산 라인 확장,자동 생산 라인 1개를 추가로 완성하세요.,철괴(resource_iron_ingot) 10,SCAII: 자동 생산 라인 1개를 추가로 완성해주세요. / SCAII: 수작업 의존도를 줄이는 단계입니다.,SCAII: 좋습니다. / SCAII: 이제 수작업 의존도가 크게 줄어들었습니다. / SCAII: . 을 눌러 다음으로,,,산(resource_acid); 철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_EXPAND_008,TUT_EXPAND_009,tutorial_expand,공장 확장,철 광석 누적 생산,철 광석을 누적 50개 생산하세요.,,SCAII: 통신 복구 설비 건설에는 더 많은 자원이 필요합니다. / SCAII: 철 광석을 누적 50개 생산해주세요.,SCAII: 철 광석 생산량이 충분한 수준에 도달했습니다. / SCAII: 이제 제련 자재를 확보하겠습니다. / SCAII: . 을 눌러 다음으로,,,산(resource_acid); 철광석(resource_iron_ore),철괴 제작 공정(recipe_smelt_iron)
TUT_EXPAND_009,TUT_COMM_001,tutorial_expand,공장 확장,철 주괴 누적 생산,철 주괴를 누적 30개 생산하세요.,철괴(resource_iron_ingot) 10,SCAII: 철 주괴를 누적 30개 생산해주세요. / SCAII: 통신탑 건설을 위한 기초 자재를 확보하는 단계입니다.,SCAII: 기초 자재 확보가 충분한 수준에 도달했습니다. / SCAII: 이제 통신 복구를 시작하겠습니다. / SCAII: . 을 눌러 다음으로,,,통신탑(resource_TeleCommunicationTower); 산(resource_acid); 철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 통신탑 제작 공정(recipe_make_telecommunication_tower); 철괴 제작 공정(recipe_smelt_iron)
TUT_COMM_001,TUT_COMM_002,main_commtower,메인 목표: 통신탑,통신탑 재료 확보,통신탑 건설에 필요한 재료를 확보하세요.,,SCAII: 이제 생존 단계를 넘어 통신 복구를 시작하겠습니다. / SCAII: 통신탑 건설 재료를 확보해주세요.,SCAII: 재료 확보를 확인했습니다. / SCAII: 이제 통신탑을 설치해주세요. / SCAII: . 을 눌러 다음으로,,,통신탑(resource_TeleCommunicationTower),통신탑 제작 공정(recipe_make_telecommunication_tower)
TUT_COMM_002,TUT_COMM_003,main_commtower,메인 목표: 통신탑,통신탑 설치 완료,통신탑을 설치하세요.,,SCAII: 통신탑은 위성 내 통신 복구의 핵심 설비입니다. / SCAII: 설치를 진행해주세요.,SCAII: 통신탑 설치를 확인했습니다. / SCAII: 이제 전력을 공급하겠습니다. / SCAII: . 을 눌러 다음으로,,,통신탑(resource_TeleCommunicationTower); 전력(resource_power),통신탑 제작 공정(recipe_make_telecommunication_tower)
TUT_COMM_003,TUT_COMM_004,main_commtower,메인 목표: 통신탑,통신탑 전력 연결,통신탑에 전력을 연결하세요.,,SCAII: 통신 설비 역시 안정적인 전력 공급이 필요합니다. / SCAII: 통신탑에 전력을 연결해주세요.,SCAII: 통신탑 전력 연결을 확인했습니다. / SCAII: 복구 상태를 점검하겠습니다. / SCAII: . 을 눌러 다음으로,,,통신탑(resource_TeleCommunicationTower); 전력(resource_power),통신탑 제작 공정(recipe_make_telecommunication_tower)
TUT_COMM_004,TUT_SIGNAL_001,main_commtower,메인 목표: 통신탑,위성 통신 복구 확인,위성 내 통신이 복구되었는지 확인하세요.,철괴(resource_iron_ingot) 10,SCAII: 위성 내 통신 복구 여부를 확인하겠습니다. / SCAII: 복구 상태를 점검해주세요.,SCAII: 위성 내 통신 환경 복구를 확인했습니다. / SCAII: 생존자 신호 탐지가 가능해졌습니다. / SCAII: . 을 눌러 다음으로,,,철괴(resource_iron_ingot),철가루 제작 공정(recipe_crush_iron); 철근 제작 공정(recipe_make_rebar); 철괴 제작 공정(recipe_smelt_iron)
TUT_SIGNAL_001,TUT_SIGNAL_002,main_signal_booster,메인 목표: 신호 증폭기,신호 증폭기 재료 확보,신호 증폭기 건설에 필요한 재료를 확보하세요.,,SCAII: 현재 출력으로는 지구까지 신호가 도달하지 않습니다. / SCAII: 신호 증폭기 건설 재료를 확보해주세요.,SCAII: 재료 확보를 확인했습니다. / SCAII: 이제 신호 증폭기를 설치해주세요. / SCAII: . 을 눌러 다음으로,,,,
TUT_SIGNAL_002,TUT_SIGNAL_003,main_signal_booster,메인 목표: 신호 증폭기,신호 증폭기 설치 완료,신호 증폭기를 설치하세요.,,SCAII: 신호 증폭기 설치를 진행해주세요. / SCAII: 장거리 통신 복구에 필요한 핵심 단계입니다.,SCAII: 신호 증폭기 설치를 확인했습니다. / SCAII: 출력 상승 여부를 점검하겠습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_SIGNAL_003,TUT_SIGNAL_004,main_signal_booster,메인 목표: 신호 증폭기,통신 출력 상승 확인,통신 출력이 상승했는지 확인하세요.,,SCAII: 통신 출력이 상승했는지 확인해주세요. / SCAII: 신호 강도를 점검하겠습니다.,SCAII: 좋습니다. / SCAII: 신호 강도가 상승하고 있습니다. / SCAII: . 을 눌러 다음으로,,,,
TUT_SIGNAL_004,,main_signal_booster,메인 목표: 신호 증폭기,지구 통신 목표 해금,지구와의 통신 복구 목표를 해금하세요.,,SCAII: 이제 지구와의 장거리 통신 복구를 시도할 수 있습니다. / SCAII: 최종 목표를 해금해주세요.,SCAII: 지구 통신 복구 목표가 활성화되었습니다. / SCAII: 이제 본격적인 구조 요청을 준비하겠습니다. / SCAII: . 을 눌러서 창 닫기,,,,
